Rank,City,Population
297,Galt,"25,495"
298,Barstow,"25,442"
299,Bay Point,"25,378"
300,Reedley,"25,232"
301,Lafayette,"25,208"
302,North Tustin,"25,147"
303,Dinuba,"25,139"
304,Loma Linda,"25,072"
305,Ladera Ranch,"24,996"
306,Seal Beach,"24,937"
307,Riverbank,"24,844"
308,Soledad,"24,778"
309,Selma,"24,625"
310,Maywood,"24,562"
311,Willowbrook,"24,401"
312,Patterson,"23,808"
313,Rosemont,"23,755"
314,San Fernando,"23,726"
315,Ashland,"23,566"
316,West Puente Valley,"23,555"
317,Oakdale,"23,235"
318,East San Gabriel,"23,076"
319,Calabasas,"22,928"
320,Granite Bay,"22,818"
321,Laguna Beach,"22,795"
322,Winter Gardens,"22,785"
323,West Carson,"22,697"
324,Valinda,"22,665"
325,Corcoran,"22,535"
326,Marina,"22,507"
327,Lennox,"22,476"
328,Cudahy,"22,294"
329,Millbrae,"22,277"
330,West Rancho Dominguez,"21,977"
331,Bloomington,"21,907"
332,Linda,"21,842"
333,Yucca Valley,"21,821"
334,Port Hueneme,"21,712"
335,American Canyon,"21,605"
336,Ramona,"21,493"
337,Rancho San Diego,"21,476"
338,South Lake Tahoe,"21,414"
339,Mountain House,"21,387"
340,Duarte,"21,245"
341,Lakeside CDP,"21,032"
342,Imperial,"21,017"
343,Mead Valley,"20,817"
344,Shafter,"20,678"
345,Prunedale,"20,560"
346,Lomita,"20,428"
347,Rosamond,"20,255"
348,La Crescenta-Montrose,"20,171"
349,East Hemet,"20,161"
350,La Cañada Flintridge,"20,114"
351,Oroville,"19,893"
352,Coronado,"19,860"
353,Agoura Hills,"19,825"
354,Arvin,"19,669"
355,South El Monte,"19,590"
356,Albany,"19,488"
357,Orinda,"19,483"
358,Casa de Oro-Mount Helix,"19,327"
359,Hermosa Beach,"19,314"
360,Arcata,"19,114"
361,South San Jose Hills,"19,104"
362,Greenfield city,"19,076"
363,Valle Vista,"19,072"
364,Phelan,"19,038"
365,Chowchilla,"19,007"
366,Rosedale,"19,003"
367,Stevenson Ranch,"18,980"
368,Dixon,"18,974"
369,Pinole,"18,821"
370,Woodcrest,"18,719"
371,Santa Fe Springs,"18,678"
372,Castaic,"18,479"
373,Arroyo Grande,"18,456"
374,Cameron Park,"18,370"
375,Nipomo,"18,182"
376,Blythe,"17,793"
377,Bostonia,"17,532"
378,Coalinga,"17,465"
379,Laguna Woods,"17,452"
380,Rancho Mirage,"17,303"
381,Truckee,"17,168"
382,El Segundo,"16,898"
383,Clearlake,"16,777"
384,Ukiah,"16,728"
385,McKinleyville,"16,645"
386,Moraga,"16,624"
387,Camp Pendleton South,"16,618"
388,Live Oak CDP,"16,508"
389,Fillmore,"16,496"
390,Ripon,"16,440"
391,Vincent,"16,405"
392,Susanville,"16,315"
393,Parkway,"16,282"
394,Stanford,"16,200"
395 ,Kerman and Los Osos,"16,174"
396,Rio Linda,"16,115"
397,Cherryland,"15,976"
398,Artesia,"15,944"
399,Walnut Park,"15,939"
400,Discovery Bay,"15,904"
401,Isla Vista,"15,733"
402,Coto de Caza,"15,509"
403,La Palma,"15,413"
404,Salida,"15,269"
405,East Rancho Dominguez,"15,252"
406,Olivehurst,"15,149"
407,Lemon Hill,"15,104"
408,California City,"15,098"
409,North Fair Oaks,"14,992"
410,Pacific Grove,"14,988"
411,Alpine,"14,958"
412,El Sobrante CDP,"14,779"
413,Lamont,"14,724"
414,Parlier,"14,691"
415,Red Bluff,"14,588"
416,Livingston,"14,528"
417,McFarland,"14,459"
418,North Auburn,"14,446"
419,Mill Valley,"14,105"
420,Sun Village,"14,080"
421,Oak Park,"13,987"
422,Alamo,"13,864"
423,Auburn,"13,845"
424,Avocado Heights,"13,836"
425,Avenal,"13,819"
426,Hawaiian Gardens,"13,806"
427,Grass Valley,"13,754"
428,King City,"13,443"
429,Grand Terrace,"13,223"
430,Tehachapi,"13,177"
431,Carpinteria,"13,122"
